f5,f6,f7,target
3.312,2.221,5.22,1
3.333,1.018,4.956,1
3.337,2.699,4.825,1
3.379,2.259,4.805,1
3.562,1.355,5.175,1
3.312,2.462,4.956,1
3.259,3.586,5.219,1
3.302,2.7,5,1
3.465,2.04,5.877,1
3.505,1.969,5.533,1
3.242,4.543,5.314,1
3.201,1.717,5.001,1
3.199,3.986,4.738,1
3.156,3.136,4.872,1
3.114,2.932,4.825,1
3.333,4.185,4.781,1
3.383,5.234,4.781,1
3.514,1.599,5.046,1
3.466,1.767,4.649,1
3.049,4.102,4.914,1
3.129,3.072,5.176,1
3.168,2.688,5.219,1
3.507,0.7651,5.091,1
2.936,1.415,4.961,1
3.245,1.791,5.001,1
3.421,0.903,5.307,1
3.026,3.373,4.825,1
2.956,2.504,4.869,1
3.221,2.754,5.038,1
3.065,3.531,5.097,1
2.975,0.8551,5.056,1
3.371,3.412,5.228,1
3.186,3.92,5.299,1
3.15,2.124,5.012,1
3.328,2.129,5.36,1
3.485,2.27,5.443,1
3.464,2.823,5.527,1
3.683,2.956,5.484,1
3.288,3.112,5.309,1
3.298,6.685,5.001,1
3.156,2.587,5.178,1
3.158,2.249,5.176,1
3.201,2.461,4.783,1
3.396,4.711,5.528,1
3.462,3.128,5.18,1
3.155,1.56,4.961,1
3.393,1.367,5.132,1
3.377,2.958,5.175,1
3.291,2.704,5.111,1
3.258,2.129,5.351,1
3.272,3.975,5.144,1
3.434,5.593,5.136,1
3.113,4.116,5.396,1
3.199,3.328,5.224,1
3.113,1.481,5.487,1
3.212,1.933,5.439,1
3.377,2.802,5.044,1
3.412,1.142,5.088,1
3.419,1.999,5.222,1
3.032,1.502,4.519,1
2.85,2.7,4.607,1
2.879,2.269,4.703,1
3.042,3.22,4.605,1
3.07,4.157,5.088,1
3.026,1.176,4.782,1
3.119,2.352,4.607,1
3.19,1.313,5.15,1
3.158,2.217,5.132,1
3.153,1.464,5.3,1
2.882,3.533,5.067,1
3.561,4.076,6.06,2
3.484,4.675,5.877,2
3.594,4.539,5.791,2
3.93,2.936,6.079,2
3.486,4.004,5.841,2
3.438,4.92,5.795,2
3.403,3.824,5.922,2
3.814,4.451,6.451,2
3.639,5.064,6.362,2
3.566,2.858,5.746,2
3.467,5.532,5.88,2
3.857,5.324,5.879,2
3.864,5.173,6.187,2
3.772,1.472,6.273,2
3.801,2.962,6.185,2
3.651,2.443,6.197,2
3.764,1.649,6.109,2
3.67,3.691,6.498,2
4.033,5.78,6.231,2
4.032,5.016,6.321,2
3.785,1.955,6.449,2
3.796,3.12,6.053,2
3.693,3.237,6.053,2
3.86,6.001,5.877,2
3.485,4.933,6.448,2
3.463,3.696,5.967,2
3.81,3.477,6.238,2
3.552,2.144,6.453,2
3.512,2.853,6.273,2
3.684,2.188,6.097,2
3.525,4.217,5.618,2
3.694,2.068,5.837,2
3.892,4.308,6.009,2
3.681,3.357,6.229,2
3.755,3.368,6.148,2
3.786,2.553,5.879,2
3.806,2.843,6.2,2
3.573,3.747,5.929,2
3.763,3.252,6.55,2
3.674,1.738,5.894,2
3.769,2.235,5.794,2
3.791,3.678,5.965,2
3.902,2.109,5.924,2
3.737,6.682,6.053,2
3.991,4.677,6.316,2
3.719,2.248,6.163,2
3.897,4.334,5.75,2
3.815,3.084,6.185,2
3.769,3.639,5.966,2
3.857,3.063,6.32,2
3.962,5.901,6.188,2
3.563,3.619,6.011,2
3.387,4.286,5.703,2
3.771,2.984,5.905,2
3.582,3.336,5.144,2
3.869,4.188,5.992,2
3.594,4.391,6.102,2
3.687,2.257,5.919,2
3.773,1.91,6.185,2
3.69,5.366,5.661,2
3.755,2.837,5.962,2
3.825,2.908,5.949,2
3.268,4.462,5.795,2
3.395,4.266,5.795,2
3.408,4.972,5.847,2
3.465,3.6,5.439,2
3.574,3.526,5.971,2
3.231,2.64,5.879,2
3.286,2.725,5.752,2
3.472,3.769,5.922,2